,en,de
151,Two children play with a balloon in mud on a sunny day.,Zwei Kinder spielen an einem sonnigen Tag mit einem Luftballon im Matsch.
152,A little girl looking at a brochure on train rides,Ein kleines Mädchen blickt auf eine Broschüre über Zugfahrten.
153,Two women are sitting and talking and laughing together.,"Zwei Frauen sitzen, reden und lachen zusammen."
154,People jogging together on a park sidewalk.,"Leute, die zusammen auf einem Fußweg im Park joggen."
155,A little kid is jumping off a high dive at the pool.,Ein kleines Kind springt von einem Sprungturm am  hohen Brett am Schwimmbecken.
156,A light-colored dog runs on the beach.,Ein hell gefärbter Hund rennt am Strand.
157,A man lounges in a wooden basin of water while eating a fruit.,Ein Mann räkelt sich in einem hölzernen Wasserbehälter und isst Obst.
158,A man is sleeping on a bench near a bus stop.,Ein Mann schläft auf einer Bank in der Nähe einer Bushaltestelle.
159,A little girl in a red shirt and jeans climbs a small tree while another little girl looks on.,"Ein kleines Mädchen mit einem roten Oberteil und Jeans klettert auf einen kleinen Baum, während ein anderes Mädchen zusieht."
160,A man asleep in a car that's driving.,Ein schlafender Mann in einem fahrenden Auto.
161,A woman in a red shirt is under a blanket and sleeping in a vehicle.,"Eine Frau in einem roten Oberteil, befindet sich unter einer Decke in einem Fahrzeug und schläft."
162,A man in a home kitchen is flipping a pancake extremely high.,Ein Mann in einer Wohnungsküche wirft einen Pfannkuchen sehr hoch.
163,Several firefighters are responding to an alarm.,Mehrere Feuerwehrleute reagieren auf einen Alarm.
164,Several firefighters stand outside of a building near their firetrucks.,Mehrere Feuerwehrleute stehen vor einem Gebäude in der Nähe ihrer Löschfahrzeuge.
165,"A beach with blue and red boats, with people on shore",Ein Strand mit blauen und roten Booten und Leuten am Ufer.
166,Men wearing hard hats and safety vests are working.,Männer mit Schutzhelmen und Schutzwesten arbeiten.
167,A magazine vendor sits behind a very colorful collage of magazines.,Ein Zeitungsverkäufer sitzt hinter einer sehr farbenfrohen Zusammenstellung von Zeitschriften.
168,A man in a hard hat is wearing a blue shirt and blue jean overalls.,Ein Mann mit Schutzhelm trägt ein blaues Hemd und einen Jeanslatzhose.
169,"At the bakery, the fat old baker sleeps while his apprentice rubs the flour out of his eyes, seated beside him.","In der Bäckerei schläft der dicke alte Bäcker, während der Lehrling neben ihm sitzt und sich das Mehl aus den Augen reibt."
170,A group of shirtless men are sitting in the shade on a tropical beach.,Eine Gruppe Männer mit nacktem Oberkörper sitzt an einem tropischen Strand im Schatten.
171,A boy in his blue swim shorts at the beach.,Ein junge in blauen Badehosen am Strand.
172,A skier is overlooking a snow-covered mountain.,Ein Skifahrer blickt auf einen schneebedeckten Berg.
173,A boy wearing a red shirt is riding his bike right next to a mound of dirt.,"Ein Junge, der eine rotes Hemd trägt, fährt neben einem Erdhügel Fahrrad."
174,Bikers in a bike race take a sharp left turn.,Zweiradfahrer in einem Rennen biegen scharf nach links ab.
175,Three boys playing and biking with a pile of sand in the middle,Drei Jungen spielen und fahren Fahrrad mit einem Sandhügel in der Mitte.
176,Elderly man with a cane bends over near a man and woman.,Ein älterer Mann mit einem Stock beugt sich in der Nähe eines Mannes und einer Frau vor.
177,A doctor and nurses in blue scrubs are performing an operation.,Ein Arzt und Pflegekräfte in blauer Arbeitskleidung führen eine Operation durch.
178,A black and white dog jumps after a yellow toy.,Ein schwarz-weißer Hund spring nach einem gelben Spielzeug.
179,A woolly dog chases a Doberman on a beach.,Ein flauschiger Hund rennt am Strand einem Dobermann hinterher.
180,A man stand there after rolling a bowling ball down a lane.,"Ein Mann steht da, nachdem er eine Bowlingkugel auf eine Bahn geworfen hat."
181,"An old weathered, bearded man wearing all black, riding a beautiful white donkey on white rocks.","Ein alter wettergegerbter Mann mit Bart, der ganz in Schwarz gekleidet ist, reitet auf einem schönen weißen Esel auf weißen Felsen."
182,A man and woman napping on a blue couch.,"Ein Mann und eine Frau, die auf einer blauen Couch ein Schläfchen machen."
183,A man wearing a yellow shirt is throwing a javelin on a track.,"Ein Mann, der ein gelbes Hemd trägt, wirft einen Speer auf eine Bahn."
184,A crowd watching air balloons at night.,Eine Menschenmenge betrachtet nachts Ballons.
185,A woman is reading a magazine over another woman's shoulder.,"Eine Frau, die einer andere Frau über die Schulter sieht, um eine Zeitschrift zu lesen."
186,Two men squat to light candles at night.,"Zwei Männer gehen in die Hocke, um in der Nacht Kerzen anzuzünden."
187,A young man is walking through a busy street beside a mall.,Ein junger Mann geht durch eine belebte Straße neben einem Einkaufszentrum.
188,The little boy rides his bicycle in a race.,Der kleine Junge fährt Fahrrad in einem Rennen.
189,A group of people sitting at a table in a darkened room.,Eine Gruppe sitzt in einem verdunkelten Raum an einem Tisch.
190,A man with two dogs on a beach,Ein Mann mit zwei Hunden an einem Strand.
191,A boy covered in suds has his face wiped clean.,Ein von Seifenschaum bedeckter Junge bekommt das Gesicht abgewischt.
192,Dozens of people are partying on a boat.,Dutzende von Leuten feiern auf einem Boot.
193,A young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat.,"Eine junge Frau auf einem Boot in einem hellen Bikini tritt einen Mann, der einen Cowboy-Hut aus Stroh trägt."
194,A boy sliding down a slide into a pool with colorful tubes.,Ein Junge rutscht eine Rutsche mit farbigen Rohren in ein Schwimmbecken herunter.
195,A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.,"Ein Mann in einem Taucheranzug wirft ein Krabbelkind in die Luft und ist bereit, es aufzufangen."
196,"A group of people riding in the back of a truck, down the road, in a country area.","Eine Gruppe fährt hinten auf einem Lkw mit, eine ländliche Straße entlang."
197,Two chefs prepare burgers in a restaurant kitchen.,Zwei Köche bereiten in einer Restaurantküche Hamburger zu.
198,Two young boys making silly faces.,Zwei Jungen schneiden Grimassen.
199,A person with brown pants is sitting around a fenced area that has sparks flying.,"Eine Person mit braunen Hosen sitzt neben einem eingezäunten Bereich, in dem Funken fliegen."
200,Woman on a hill by a white cross overlooking a beach.,"Frau auf einem Hügel neben einem weißen Kreuz, die auf einen Strand blickt."
201,Four girls are sitting in the grass while several men stand near them.,"Vier Mädchen sitzen im Gras, und mehrere Männer stehen in ihrer Nähe."
202,Men at work shoveling snow from a rail track.,Arbeitende Männer schaufeln Schnee von einem Gleis.
203,"A man, and girl and two horses are near a contained fire.","Ein Mann, ein Mädchen und zwei Pferde befinden sich in der Nähe eines eingedämmten Feuers."
204,Workers wearing reflective vests working near a train car.,"Arbeiter mit Warnwesten, die in der Nähe eines Zugwaggons arbeiten."
205,"An older guy looking at a classic, rustic, volkswagen beetle.",Ein älterer Typ blickt auf einen klassischen schlichten Volkswagen Käfer.
206,A woman assembles a white metal frame on the sidewalk.,Eine Frau baut auf dem Gehweg einen weißen Metallrahmen zusammen.
207,There are three dogs starring at a ball in the middle of them.,Drei Hunde starren auf einen Ball in ihrer Mitte.
208,A shirtless man and a woman sitting on a dock.,Ein Mann mit nacktem Oberkörper und eine Frau sitzen auf einem Dock.
209,Men in safety vests are working on a track.,Männer in Schutzwesten arbeiten auf einem Gleis.
210,A man fixing the road with his equipment.,"Ein Mann, der die Straße mit seiner Maschine ausbessert."
211,A woman with reddish hair applies mascara to her eyelashes.,Eine Frau mit rötlichem Haar trägt Mascara auf ihre Wimpern auf.
212,A white dog has its head on the ground.,Ein weißer Hund hat seinen Kopf auf dem Boden.
213,A woman in blue shorts and a white shirt is indoor rock climbing.,Eine Frau in blauen Shorts und einem weißen Hemd klettert in einer Halle.
214,Many scooters are parked together on the sidewalk.,Viele Motorroller sind zusammen auf dem Gehweg geparkt.
215,The regional park police helicopter is preparing to land.,Der Polizeihubschrauber des örtlichen Parks bereitet sich auf die Landung vor.
216,A man in a reflective jacket positions himself on scaffolding.,Ein Mann in einer Warnweste bringt sich auf einem Gerüst in Position.
217,A group of fourteen is assembled in a hall with dining tables and a stage.,Eine aus vierzehn Personen bestehende Gruppe ist in einer Halle mit Esstischen und einer Bühne versammelt.
218,A teenage boy is jumping on an inflatable slide.,Ein männlicher Teenager springt auf einer aufblasbaren Rutsche.
219,A family playing on a tractor on a beautiful day,Eine Familie spielt an einem schönen Tag auf einem Traktor.
220,An elderly woman pan frying food in a kitchen.,Eine ältere Frau brät in einer Küche etwas in der Pfanne an.
221,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress.,Eine extravagante jungen Frau in einem roten Bikini und einem roten Feder-Kopfschmuck kommt auf zwei junge Leute zu.
222,Two skiers are making their way through woodland.,Zwei Skifahrer machen sich auf den Weg durch Waldland.
223,Skiiers at the top of a snow covered hill.,Skifahrer oben auf einem schneebedeckten Hügel.
224,A brown dog running next to grass.,"Ein brauner Hund, der neben Gras rennt."
225,"A woman in a green shirt and jeans kneels on a stoop with coffee in hand, her purse beside her and a large door behind her, as she fills out paperwork.","Eine Frau in grünem Oberteil und Jeans kniet auf einer offenen Veranda mit einem Kaffee in der Hand, neben ihr ihre Handtasche und hinter ihr eine große Tür, während sie Formulare ausfüllt."
226,People are crossing a city street intersection.,An einer Kreuzung überqueren mehrere Personen die Straße.
227,A woman dressed in light purple and wearing a corsage clasps her hands in her lap.,"Eine Frau, die lilafarben gekleidet ist und ein Mieder trägt, faltet die Hände in ihrem Schoß."
228,A mother and children is fishing on a boardwalk at night.,Eine Mutter und Kinder fischen nachts an einer hölzernen Strandpromenade.
229,Six males playing a game in the sand with wooden paddles.,Sechs männliche Personen spielen ein Spiel im Sand mit hölzernen Paddeln.
230,"A woman in a green tank top is surrounded by three children, laughing.",Eine Frau in einem grünen Pullunder ist von drei Kindern umgeben und lacht.
